method,k,workload,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
draft_sd,16,long_chain_reasoning,50,38.39183066238887,23.959853646650846,38.44392848479561,42.738374006934464,1024.0,0.38922530631158664,0.6107746936884133,0.2817111314752327,165584.0,41099.0,124485.0,0.7517936515605372,0.24820634843946274,75.17936515605372
draft_sd,16,long_context_completion,50,65.55114238669707,75.49863559603531,32.24594164180569,25.611465057125315,1849.6,0.6974479225222864,0.3025520774777136,0.09202121407664926,142384.0,83860.0,58524.0,0.4110293291381054,0.5889706708618946,41.10293291381054
draft_sd,16,long_horizon_swe,50,41.365647520356916,35.20288416732901,30.151523298649117,29.09028971544467,1024.0,0.4251400707282653,0.5748599292717347,0.23513434477800904,128064.0,43467.0,84597.0,0.6605837706146926,0.33941622938530736,66.05837706146926
draft_sd,16,mathematical_reasoning,50,28.828540215563212,26.06509988729708,19.375930164093152,19.64336598431692,512.0,0.2732303256726016,0.7267696743273985,0.23655872624495417,84288.0,20513.0,63775.0,0.7566320235383447,0.24336797646165528,75.66320235383446
eagle3,1,code_gen,50,179.83761215602624,181.15950185106365,2.915440827617422,2.82624370791018,512.0,0.07346577879752353,0.9265342212024764,0.20182735035400817,23825.0,1725.0,22100.0,0.9275970619097587,0.07240293809024134,92.75970619097586
eagle3,1,conversational_generation_gen,50,179.32648770333435,179.02326897586204,2.86758614028804,2.8599660641048104,512.0,0.056965053394689845,0.9430349466053102,0.3862285021830049,24191.0,1363.0,22828.0,0.9436567318424207,0.056343268157579264,94.36567318424207
eagle3,1,conversational_generation_sft,50,177.7775346343947,179.04307925006444,2.8937874730862676,2.859647085890174,512.0,0.05441828576664731,0.9455817142333527,0.40266306415187353,24253.0,1300.0,22953.0,0.9463983837051086,0.05360161629489135,94.63983837051086
eagle3,1,hardware_gen,50,184.70995238141356,185.3276197361506,2.7833344792854042,2.762675310485065,511.68,0.07621672008602043,0.9237832799139796,0.280210252632849,23765.0,1772.0,21993.0,0.925436566379129,0.07456343362087103,92.5436566379129
eagle3,1,long_chain_reasoning,50,198.75078602509078,181.72826467495707,5.357331720208749,5.634787650546059,1024.0,0.1540053690204195,0.8459946309795805,0.2740538622626566,45985.0,5170.0,40815.0,0.8875720343590301,0.11242796564096988,88.75720343590301
eagle3,1,long_context_completion,50,178.13882431093597,175.32226204128625,10.164115113997832,11.459030412137508,1849.56,0.09409673438918888,0.905903265610811,0.09436124635567929,85634.0,6795.0,78839.0,0.9206506761333115,0.07934932386668847,92.06506761333115
