pool,method,workload,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,run_root,run_name,model_variant,candidate_set
slow_only,ngram_sd,conversational_generation_sft_cap50,50,238.61471038979747,189.686659147156,2.440356178283692,2.699188351631165,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,hardware_gen,44,362.3326009132265,255.61911869970305,1.8781304088505832,2.003774762153625,511.34090909090907,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,long_chain_reasoning,50,504.8664606170104,238.11892092251972,3.6177023315429686,4.302672386169434,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,long_context_completion,50,808.2251798567559,517.0355326384326,3.441003832817078,2.9418272972106934,1829.92,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,long_horizon_swe,50,554.5932644590753,384.4858744641466,3.003323736190796,2.6639236211776733,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,mathematical_reasoning,50,235.48469731234292,219.9695165927951,2.263423409461975,2.32759690284729,510.84,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,eagle3,code_gen,26,30.522491515080603,30.408347923212567,16.83552386210515,16.837947368621826,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,hardware_gen,6,28.67913485070297,28.545497787492025,17.862228512763977,17.937155723571777,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,code_gen,24,54.938424198568725,53.09898560930133,12.440843999385834,9.648005485534668,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,conversational_generation_gen_cap50,50,44.052373307117975,29.73469391982112,14.851933932304382,17.21894347667694,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
