pool,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,speedup_vs_slow_only_tps,latency_speedup_vs_slow_only,run_root,run_name,model_variant,candidate_set,slow_only_mean_tps,tps_ratio_vs_slow_only
slow_fast,400,64.40273962368771,38.14524279593137,16.399182269573213,16.0867817401886,804.5225,0.16347843479137,0.1879655622660403,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,393.9525094296261,0.16347843479137
slow_only,400,393.9525094296261,227.89241027817465,3.0824815160036088,2.6989591121673584,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,393.9525094296261,1.0
slow_fast,400,66.73002373394804,39.94527095173072,15.854063061475754,15.396717190742493,804.5225,0.1691367607711247,0.1926231246883057,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_8_16,394.5329414475832,0.16913676077112474
slow_only,400,394.5329414475832,227.737545293856,3.053859165906906,2.699376702308655,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_8_16,394.5329414475832,1.0
slow_fast,400,63.727443706840425,37.82604803279117,16.405109013319016,15.85720682144165,804.5225,0.1621335985862331,0.1891988796949494,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_to_16,393.0551363969513,0.16213359858623316
slow_only,400,393.0551363969513,227.07766348690205,3.1038282465934754,2.70994770526886,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_to_16,393.0551363969513,1.0
slow_fast,400,66.30715365608606,49.370174191916846,13.640144486427308,12.783899068832396,804.5225,0.1675664854998668,0.2241789917188557,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k2_4_6_8,395.70653677127297,0.16756648549986689
slow_only,400,395.70653677127297,228.001693086094,3.057833837866783,2.7072490453720093,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k2_4_6_8,395.70653677127297,1.0
slow_fast,400,58.32734892855332,34.91231702420959,17.957425943017007,16.899022698402405,804.5225,0.1494994365381712,0.1726335991332343,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_2_4_6_8_10_12_14_16,390.1509616302855,0.14949943653817116
slow_only,400,390.1509616302855,224.38341789264544,3.10005507171154,2.699009418487549,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_2_4_6_8_10_12_14_16,390.1509616302855,1.0
